col,col,col,código_material,preço_real,descrição,qtde_min,bateria_recomendada,kit,tensão_carregador,tensão_nominal_bateria_v,sabres_cm,corrente,velocidade_da_corrente_m_s,peso_kg,s,col,col,col,col
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Compr. da lâmina [cm],Espaço entre dentes (mm),,"Peso 
[kg]",,,,,
,,,HA08-011-3524,1089,"HSA 40.0 Podador a bateria, 500mm/20""",1,AS 2,Não acompanha bateria ou carregador,-,10.8,50,24,,2.1,,,,,
,,,HA08-011-3531,1529,"HSA 40.0 SET Podador a bateria, 220V,",1,,"2 Unidades Bateria AS 2
Carregador AL 1 - 220V",220V,,,,,,,,,,
,,,HA08-011-3532,1529,"HSA 40.0 SET Podador a bateria, 127V,",1,,"2 Unidades Bateria AS 2
Carregador AL 1 - 127V",127V,,,,,,,,,,
HSA 45,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Compr. da lâmina [cm],"Freq. de abertura
[rpm]",Autonomia da bateria [min],"Peso 
[kg]",,,,,
,,,4511-011-3527,649,"HSA 45 Podador a bateria, 500mm/20""",2,Integrada,Carregador,Bivolt,18,50,2500,40,2.3,,,,,
HSA 50,,,,,,,,,,,,,,,,,,,
,,,Código Material,Preço Real,Descrição,Qtde. Min.,Bateria recomendada,Kit,Tensão carregador,Tensão nominal bateria (V),Compr. da lâmina [cm],Espaço entre dentes (mm),,"Peso 
[kg]",,,,,
,,,4521-011-3577,2039,"HSA 50.1 SET Podador a bateria, 127V",1,AK 10,"Bateria AK 10
Carregador AL 101 - 127V",127V,36,50,30,,2.9,,,,,
,,,4521-011-3576,2039,"HSA 50.1 SET Podador a bateria, 220V,",1,,"Bateria AK 10
Carregador AL 101 - 220V",220V,,,,,,,,,,
