col,col,código_material,preço_real,qtde_min,descrição,cilindrada_cm³,pot,col,peso,conjunto_de_corte
,8,4137-200-0346,3159,1,KA 85 R SP WR 9 - Derriçador de Café,,,,5.101,SP20 WR 9 DERRIÇADOR CAFÉ
,9,4137-200-0347,3139,1,KA 85 R SP WR 6 - Derriçador de Café,,,,5.101,SP20 WR 6 DERRIÇADOR CAFÉ
,10,4137-200-0348,4169,1,KA 85 R SP – Colhedor de Oliva,,,,6.662,SP COLHEDOR DE OLIVA
,11,4137-200-0316,2859,1,KA 85 R FCS - Aparador de Cantos,,,,8.281,IMPLEMENTO APARARADOR DE CANTOS
KA 120 R,,,,,,,,,,
,,Código Material,Preço Real,Qtde. Min.,Descrição,Cilindrada [cm³],Pot.,,Peso,Conjunto de corte
,,,,,,,kW,CV,,
,1,4134-200-0393,2239,2,KA 120 R Roçadeira - Lâmina 3 Facas 250m,30.8,1.3,1.8,7.426,3 FACAS 250mm
,2,4134-200-0394,2239,2,KA 120 R Roçadeira - Lâmina 2 Facas 230m,,,,7.296,2 FACAS 230mm
,3,4134-200-0462,2219,2,KA 120 R Roçadeira - Trimcut 32-2,,,,7.541,TrimCut 32-2
,4,4134-200-0367,3169,2,KA 120 R BF - Cultivador de Solo,,,,12.824,CULTIVADOR DE SOLO
,5,4134-200-0374,3249,2,KA 120 R HL 145° - Podador Especial,,,,7.885,HL PODADOR ESPECIAL
,7,4134-200-0464,2969,2,"KA 120 R HT Motopoda 30cm/12"",61PMM3, 
passo da corrente: 3/8""",,,,10.465,"HT-KA MOTOPODA - 30cm/12"", 61PMMC3 "
,8,4134-200-0376,3299,2,KA 120 R SP WR 9 - Derriçador de Café,,,,5.801,SP20 WR 9 DERRIÇADOR CAFÉ
,9,4134-200-0377,3279,2,KA 120 R SP WR 6 - Derriçador de Café,,,,5.801,SP20 WR 6 DERRIÇADOR  CAFÉ
,10,4134-200-0371,4279,2,KA 120 R SP – Colhedor de Oliva,,,,7.362,SP COLHEDOR DE OLIVA
,11,4134-200-0375,3069,2,KA 120 R FCS – Aparador de cantos,,,,8.981,IMPLEMENTO APARARADOR DE CANTOS
Implementos KA,,,,,,,,,,
,,Código Material,Preço Real,Qtde. Min.,Descrição,Comentários,,,Peso,Modelo
,1,4243-740-5101,1429.01,1,HL 145° Podador especial,,,,2.084,KA85/KA120
,2,4601-710-1504,1279,1,BF Implemento Cultivador do solo,,,,3.924,"KA85R,FS85/120/250/FR350"
,3,4180-740-5100,1179,1,FCS Implemento Aparador de cantos,,,,3.18,KA85/KA120
,4,4137-740-5100,269,1,FS Implemento Roçadeira,,,,1.275,KA85R/FS55/80/85/120/130FR220
,5,4182-200-0215,1498.99,1,"HT Implemento Moto-poda,30cm/12"",71PM3",,,,1.711,"KA85R/120,HT75/133"
,6,4182-200-0217,1139,1,"HT Implemento Moto-poda,30cm/12"",61PMM3",,,,1.711,"KA85R/120,HT131"
,7,4249-740-5100,2619,1,SP 10 Derriçador,,,,1.561,KA85/KA120
,8,4260-740-5100,1439,1,SP 20 Derriçador,,,,1.6,"KA85R,KA120"
,,4260-740-7200,131.18,1,Garra WR 6,,,,0.145,SP 20
,,4260-740-7201,130.17,1,Garra WR 6-2,,,,0.13,SP 20
,,4260-740-7202,162.71,1,Garra WR 9,,,,0.19,SP 20
,,4260-710-7100,372.2,1,"Tubo do eixo Ø 25,4 x 1498 mm",,,,,"KA 85, KA 120"
,,4260-710-7101,682.84,1,"Tubo do eixo Ø 25,4 x 1748 mm",,,,,"KA 85, KA 120"
,,4260-710-7102,217.64,1,"Tubo do eixo Ø 25,4 x 1498 mm",,,,,"KA 85, KA 120"
,,4260-710-7103,238.37,1,"Tubo do eixo Ø 25,4 x 1748 mm",,,,,"KA 85, KA 120"
,,4137-711-3202,98.82,1,Eixo de acionamento 1538 mm,,,,0.27,"FS 80,KA 85, KA120"
,,4260-711-3200,108.23,1,Eixo de acionamento 1785 mm,,,,,"KA 85, KA 120"
Implementos KM / KMA,,,,,,,,,,
,1,Código Material,Preço Real,Qtde. Min.,Descrição,Comentários,,,Peso,Modelo
,2,4601-740-5000,1719,1,BF-KM Cultivador do solo,,,,4.142,KM55/85 / KMA135R
