col,código_material,preço_real,qtde_min,descrição,vazão_máxima_l_h,pressão_máxima_bar,pressão_de_trabalho_bar,potência_kw,tipo_de_motor,peso_kg,comprimento_da_mangueira_m,cabeçote_da_bomba
,0835-020-7002,116.21,1,Disco de corte K-BA Ø 400mm. Corte de tijolo e paredes.,,,,,,TS 800,TS 800,0.61
PERFURADORES,,,,,,,,,,,,
BT 131,,,,,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,,Motor,Cilindrada [cm3],Potência,,Peso [kg],Modelo,
,,,,,,,,kW,CV,,,
,4313-200-0045,4449,1,BT 131 Perfurador Solo - (S/ Broca),,4-MIX,36.3,1.4,1.9,10,BT131,
,Código Material,Preço Real,Qtde Mín.,Descrição,,,Comentário,,,,Modelo,
,4404-680-1900,1030.54,1,Broca de aço perfur. de solo Ø 260mm x 660mm,,,Broca Plantio - Perfuração 260mm,,,,BT120/121/130/131,
,4404-680-2012,1207.7,1,Broca de aço perfur. de solo Ø 120mm x 695mm,,,Broca Helicoidal - Perfuração 120mm,,,,BT120/121/130/131,
,4404-680-2020,1306.71,1,Broca de aço perfur. de solo Ø 200mm x 720mm,,,Broca Helicoidal - Perfuração 200mm,,,,BT120/121/130/131,
,4311-680-2350,368.9,1,Prolongamento da haste 450 mm,,,,,,,BT120/121/130/131,
,4313-680-2300,314.39,1,Prolongamento da haste 250 mm,,,,,,,BT120/121/130/131,
BT 45,,,,,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,,,Cilindrada [cm3],Potência,,Peso [kg],Modelo,
,,,,,,,,kW,CV,,,
,4314-200-0022,3349,1,BT 45 Furadeira com broca Ø13x320mm,,,27.2,0.8,1.1,4.8,Furadeira,
,4314-200-0023,3399,1,BT 45 Furadeira com broca Ø19x460mm,,,,,,,,
,4314-200-0024,3449,1,BT 45 Furadeira com broca Ø25x460mm,,,,,,,,
,Código Material,Preço Real,Qtde Mín.,Descrição,,,Comentário,,,,Modelo,
,4314-007-1004,511.3,1,Jogo Mandril de brocas,,,,,,,BT 45,
,4314-007-1000,337.36,1,Jogo Mandril de brocas,,,,,,,BT 45,
,4314-682-5013,149.05,1,Broca para madeira de aço Ø 13x320 mm,,,,,,,BT45,
,4314-682-5019,190.17,1,Broca para madeira de aço Ø 19x460 mm,,,,,,,BT45,
,4314-682-5025,253.99,1,Broca para madeira de aço Ø 25x460 mm,,,,,,,BT45,
,Código Material,Preço Real,Qtde Mín.,Descrição,,,Cilindrada [cm3],Potência,,Peso [kg],Modelo,
,,,,,,,,kW,CV,,,
,4314-200-0018,3779,1,"BT 45 Furadeira com Broca de Plantio 3""",,,27.2,0.8,1.1,4.8,Perfurador de solo,
,4314-200-0019,3799,1,"BT 45 Furadeira com Broca de Plantio 4""",,,27.2,0.8,1.1,4.8,BT 45,
,4314-200-0020,3849.01,1,"BT 45 Furadeira com Broca de Plantio 5""",,,27.2,0.8,1.1,4.8,BT 45,
,Código Material,Preço Real,Qtde Mín.,Descrição,,,Comentário,,,,Modelo,
,4314-680-1903,547.48,1,"Broca perfuradora de solo para plantio 3""",,,"Comprimento da broca 59,5 cm",,,,BT 45,
,4314-680-1904,567.64,1,"Broca perfuradora de solo para plantio 4""",,,"Comprimento da broca 59,5 cm",,,,BT 45,
,4314-680-1905,590.31,1,"Broca perfuradora de solo para plantio 5""",,,"Comprimento da broca 59,5 cm",,,,BT 45,
,4314-007-1001,322.06,1,Kit para perfurador de plantio,,,,,,,BT 45,
MOTORES ESTACIONÁRIOS ,,,,,,,,,,,,
