código_material,preço_real,descrição,modelos_compativeis
0000-855-9201,111.28,Nípel,Verificar estanqueidade do carburadorMS162/172/172C/182/212/MS462/651/661
0000-890-1701,2514.78,Conjunto ferramentas de teste,Todos os modelos
0000-890-2201,117,Ferramenta de montagem,MS162/172/172C/182/212/MS08/025/034/036/362/382/462/651/661/038/039/051/066/076/TS800P835/840/FS44/86/106/220/460/FR106/108/E14/MS361/BR430
0000-890-2300,7.4,Chave de fenda,MS162/172/172C/182/212/BT121/MS025/250/039/382/390/046/462/066/650/651/661/FS44/86/88/106/108/120/160/220/280/460/FR106/108/KM55/PC70/HS82R/MSA160T/HTA85/KA120/HT133/RE90/95/95/110/150/GTA26/RE80X/RE80/RE90/RE90Plus/RE100
0000-890-2800,125.88,Gancho de montagem,WP300/600/900/EHC605/705/GR40.0/GR60.0/GR80.0
0000-890-3400,34.51,Chave combinada,MS162/172/172C/182/212
0000-890-3402,34.51,Chave combinada,MS193T/194T/HT133
0000-890-3700,42.56,Garra,FS460
0000-890-6400,26.67,Calibrador de corrente,FS460
0000-890-6401,110.19,Calibrador de corrente,MS162/172/172C/182/212/MS038/051/076/362/382/651/661/TS800/FS460
0000-893-2401,76.44,Luva de montagem,TS420/FS460
0000-893-2600,10.15,Cinto Anel,MS162/172/172C/182/212/MS08/034/362/382/651/661/038/051/076/PC70/75/HT70K/TS800/FS300/350/380/460/HS82R/KA120/BG50
0000-893-3700,185.83,Garra (com perfil nº 1 + 2),TS800/FS300/350/380/460/BG/SH56/MS382/462/651/661/194T/KA120/FSA56/BG50/HT133/HLA65
0000-893-3703,95.09,Garra (com perfil nº 7),TS800/FSA56/KA120/BG50/HT133/HLA65/MS194T/462/651/661
0000-893-3704,148.34,Garra (com perfil nº 8),MS194T/462/651/661/BR800
0000-893-3706,185.83,Garra (com perfil nº 3.1 + 4),Todos os modelos de máquinas/MS651/661
0000-893-3707,206.3,Garra (com perfil nº 9),FS131/MS194T/462/651/661
0000-893-3711,185.83,Garra (com perfil nº 6),MS460/462/194T/651/661/TS800/FSA56/KA120/BG50/HT133/HLA65
0000-893-4101,8,Placa de controle,
0000-893-4105,8.36,Placa de controle,
0000-893-4700,49.27,Pino de montagem,SPA65
0000-893-5903,12.32,Tranca pistão,MS025/034/036/362/382/038/039/064/066/FS
0000-893-5904,12.32,Tranca pistão,MS162/172/172C/182/212/HS81/82R/BG86/BR430/FS460/BG/SH56/MS462
0000-893-5905,12.32,Tranca pistão,MS193T/194T
0000-893-7900,95.82,Parafuso fixador,FSE60/FS38/290
0000-893-8100,23.73,Ferramenta de desmontagem,RMA370
0000-900-2141,23.96,Kit de Caixas para correntes c/10 unid,Contém 10 unidades
0000-930-2203,84.87,"Cordão de arranque Ø 3,5 mm x 30,5 m",MS310/390/046/460/SR420/BR600
0000-930-2211,116,"Cordão de arranque Ø 3 mm x 60,8 m",HT135
0000-930-2241,41.07,Cinta 25 mm x 10 m,FS44/85/86/88/106/108/120/160/220/250/28
0000-930-2242,27.83,Cinta 38 mm x 5 m,FS44/88/108/120/160/220/250/280/300/350/
